Title;Gram;Protein;Fats;Carbohydrates;Calories;Method_of_preparation
Бурый рис с нутом;1905;94,14;37,33;437,3;2468;1)Предварительно замочите рис и нут на 8-12 часов, в слегка подкисленной воде. 2)Варим нут и рис в течении 20-30 мин. 3)В глубокой сковороде с толстым дном 1 мин. обжариваем тмин на кокосовом масле. 4)Добавляем красный перец, баклажаны, специи: корицу, кориандр, и бульон. Накрываем крышкой и тушим 15-20 мин. 5)Добавляем рис и нут, готовим еще 5 мин. 6)Подавайте с нарезанными помидорами и зеленью.
Vegan-Омлет;485;23,03;4,53;104,35;544;1)Смешиваем воду, нутовую муку и специи до однородной массы теста для блинов. 2)Нарезаем овощи мелкими кубиками. На сковороде без масла немного обжариваем лук с овощами. Постепенно добавляем воду и тушим 2-3 минуты. 3)Вливаем нутовую смесь, готовим на небольшом огне 5-10 минут. Приятного аппетита!
Суп с фасолью;1945;90,81;20,39;294,41;1660;1)Предварительно замачиваем фасоль в питьевой воде, слегка подкисленной лимоном. 2)На следующий день сливаем воду и перемещаем фасоль в кипящую воду. Варим на среднем огне 30-60 минут. 3)Нарезаем лук, морковь и сельдерей, измельчаем чеснок и выкладываем овощи на разогретую сковороду. Добавляем немного воды и готовим на небольшом огне 10 минут. 4)Нарезаем брокколи и цветную капусту и ставим воду в кастрюле на плиту, доводим воду до кипения. 5)В кипящую воду добавляем овощи из сковороды, брокколи и цветную капусту. Доводим до кипения и варим на слабом огне 10 минут. Добавляем шпинат и варим еще пару минут. 6)Когда суп остынет, добавляем растительное масло. Приятного аппетита!
Raw сырники;335;35,31;94,37;75,57;1280;1)Кешью взбиваем в блендере вместе с водой. Воду добавляем постепенно, чтобы не переборщить. 2)Кокосовую стружку взбиваем в кофемолке в муку. Если у вас цельный кокос, то взбейте его вместе с кешью и водой. 3)Добавляем к кешью мёд и взбиваем до однородной консистенции. 4)Тщательно смешиваем полученную массу с кокосовой мукой и убраем в морозильник на 15 минут, чтобы тесто стало плотным. 5)Лепим сырники. Готовые сырники нужно убрать на ночь в холодильник. Приятного аппетита!
RAW паста из цукини;538;14,97;77,27;27,99;872;1)Все ингредиенты для соуса взбить в блендере до однородной массы. Если нет блендера, можно размять авокадо вилкой и постепенно вмешивать остальные компоненты. 2)Прокрутить цукини через спиралайзер или воспользоваться теркой для корейской морковки. 3)Заправить спагетти соусом. 4)Украсить помидорами черри и тыквенными семечками.
Тыквенный суп;1570;13,66;15,72;78,22;480;1)В глубокой сковороде с толстым дном топим кокосовое масло. Добавляем порезанный лук и чеснок. Обжариваем 5 минут, добавляем специи, по желанию: гвоздику, куркуму, имбирь, корицу, кардамон, обжариваем 1 мин. 2)Добавляем воду, кубики тыквы, яблока, и кольца моркови. Доводим до кипения, и убавляем огонь. Готовим пока овощи не станут мягкими, примерно 15- 20 минут. 3)Далее взбиваем блендером до однородной массы. При подаче, можно добавить тыквенные семена, предварительно замоченные на 2-3 часа.
"Смузи ""Свежесть""";561;7,37;10,43;68,34;316;1)Взбиваем в блендере все ингредиенты до однородной массы. Если смузи получился слишком густой, по желанию, добавьте воды.
Оладьи из бананов (vegan);442;16,26;18,51;74,38;489;1)Семена льна взбиваем с водой, оставляем на 5-10 минут. 2)В кухонной емкости смешиваем гороховую муку и корицу. 3)Все ингредиенты взбиваем в блендере или смешиваем в миске, до однородной массы. 4)На нагретую сковородку добавляем кокосовое масла и начинаем жарить. 5)Обжаривайте с каждой стороны до появления пузырьков, затем переворачиваем. 6)Готово!
Амарантовая каша с медом и семенами;120;21,49;48,1;101,46;920;1)Замачиваем амарантовую крупу на ночь. 2)Сливаем воду и просушиваем зерно. Смешиваем с одним стаканом воды (или орехового молока), доводим до кипения и уменьшаем огонь. Готовим на медленном огне примерно 15 минут. 3)Выключиаем плиту и даем настояться каше. Оставляем на 10 минут. 4)Добавляем в кастрюлю масло. При подаче в тарелку добавляем мед и семена. Приятного аппетита!
Брауни с бананом и авокадо;515;35,13;78,2;164,24;1508;1)Банан и авокадо режем кусочками и вместе со всеми ингредиентами, кроме шоколада, засыпаем в чашу блендера, жмём на кнопку «старт» до образования однородной массы. 2)Шоколад топим и вливаем в тесто — он останется жидкими фрагментами внутри готовых тёплых кексов. 3)Раскладываем по формочкам. 4)В духовом шкафу пирожные будут находиться от 8 до 15 минут: если хотите влажную середину — меньше времени, если нет — выдерживайте максимально.
